"","WINP","PTS","FGP","TPP","FTP","REB","AST","TOV","STL","BLK"
"206",0.305,95.7,45.3,34.7,72.9,41.8,20.6,14.9,7.9,3.8
"207",0.256,98.5,43.5,34.4,74.1,43.9,20.9,13.2,7,4.5
"208",0.22,92,40.8,32,67.6,42.9,20.5,17.7,9.6,5.9
"209",0.207,91.9,42.8,34.7,76.9,40.4,21.3,14.7,7,4.7
"210",0.195,97.8,43.8,33.2,77.6,40.9,21.6,15,8.1,4
"211",0.756,105.4,48.6,39.7,78.5,43.3,25.2,14.4,7.4,5.1
"212",0.72,106.2,47.1,36.1,80.6,44.7,21.9,15.3,8.3,6.1
"213",0.695,107.9,47.4,35.2,73,43,24.6,13.9,8.6,4.8
"214",0.683,96.7,44.9,35.7,77.9,44.7,20.1,15.1,6.7,5.4
"215",0.659,107.7,47.2,35.8,71.2,45.3,21.4,16.1,7.6,5.6
"216",0.659,102.2,50.1,36.4,76,36.9,22.5,14.8,8.9,4.5
"217",0.659,106.7,45,37.2,81.5,46.4,23.2,13.7,5.5,4.7
"218",0.622,104.3,46.2,38,75.3,45.3,23.3,15.2,7.8,5
"219",0.61,96.1,46.4,35.3,74.1,42.4,21.9,13.7,7.7,4.6
"220",0.598,104.8,47.4,38.4,79.5,40.9,23.6,13.5,8.6,4.3
"221",0.585,93.7,43.2,34.8,77.9,44.1,22.7,14.9,7.2,5.2
"222",0.585,105.2,46.3,37.2,75.8,43,19.1,15.3,8.4,4.6
"223",0.585,101.3,44.5,37.2,78.2,42.5,21.2,14.1,7,4.2
"224",0.537,98.5,45.9,36.9,75.3,38.1,20.9,14.5,8.6,3.8
"225",0.537,100.7,45.9,38,73.1,42.2,23.3,14.7,8.1,4.6
"226",0.524,96.9,44.2,35.1,73.7,42.7,21.7,12.3,6.1,5.1
"227",0.488,106.9,44.4,34.1,77.8,44.7,23.9,13.9,8.8,3.6
"228",0.463,101,45.8,36.3,78.1,40,24.9,15.3,8.3,4
"229",0.451,98.6,44.9,37.2,76.1,40.3,20,13,7.7,4.5
"230",0.439,104.4,44.7,35.8,72.6,45.4,22.4,15.9,7.5,5.6
"231",0.415,99.7,45.9,37.3,76.9,41.7,21.3,13.8,7.9,6.4
"232",0.402,98.2,43.7,35.6,75.1,44.1,21.2,14.2,7.1,3.7
"233",0.354,101,44.7,32.1,67,45.4,20.9,14.5,8.4,4.8
"234",0.341,100.5,44.7,33.3,75.9,44.5,18.9,15.2,7.2,3.9
"235",0.329,103,45,38.1,75.7,41,24.5,15.1,7.5,5.4
